,,行政部2026年预算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,全年合计,一季度,1月,2月,3月,二季度,4月,5月,6月,三季度,7月,8月,9月,四季度,10月,11月,12月,,,,,,,,,,,,
,,预估人数（正式+外包）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
职场,北京,北京办公室,房租,24358705.86 ,6089676.46 ,2029892.15 ,2029892.15 ,2029892.15 ,6089676.46 ,2029892.15 ,2029892.15 ,2029892.15 ,6089676.46 ,2029892.15 ,2029892.15 ,2029892.15 ,6089676.46 ,2029892.15 ,2029892.15 ,2029892.15 ,,,,,,,,,,,,
,,北京办公室,大物业费,6353918.94 ,1588479.74 ,529493.25 ,529493.25 ,529493.25 ,1588479.74 ,529493.25 ,529493.25 ,529493.25 ,1588479.74 ,529493.25 ,529493.25 ,529493.25 ,1588479.74 ,529493.25 ,529493.25 ,529493.25 ,,,,,,,,,,,,
,,北京办公室,小物业费,2703149.50 ,675787.35 ,225262.45 ,225262.46 ,225262.46 ,675787.37 ,225262.46 ,225262.46 ,225262.46 ,675787.37 ,225262.46 ,225262.46 ,225262.46 ,675787.37 ,225262.46 ,225262.46 ,225262.46 ,,,,,,,,,,,,
,,北京办公室,能源费,1835669.66 ,439366.65 ,150661.39 ,140312.40 ,148392.86 ,441338.81 ,137086.33 ,135214.53 ,169037.95 ,513983.25 ,173878.94 ,183817.87 ,156286.44 ,440980.95 ,136344.27 ,148734.10 ,155902.58 ,,,,,,,,,,,,
,,北京办公室,集团综合服务费,7059909.94 ,1764977.48 ,588325.83 ,588325.83 ,588325.83 ,1764977.49 ,588325.83 ,588325.83 ,588325.83 ,1764977.48 ,588325.83 ,588325.83 ,588325.83 ,1764977.48 ,588325.83 ,588325.83 ,588325.83 ,,,,,,,,,,,,
